assessment_id,study,outcome,window,comparison,population,d1,d2,d3,d4,d5,overall,provenance,source,human_signoff_date
CORRECTED-V34-011,Zhan 2020,VAS pain intensity,24 h,TAP + TEAS vs TAP,30 vs 30,Some concerns,Low,Low,High,Some concerns,High,De novo source-grounded replacement; subjective pain outcome without sensory-matched TEAS sham,v34 master: Corrected_RoB2 row12,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-012,Zhang 2025,Total sufentanil consumption,POD1 (~24 h),Perioperative TEAS vs sub-sensory sham,45 vs 48,Low,High,High,Low,Some concerns,High,De novo source-grounded replacement; 15/108 post-randomization exclusions materially affect effect-of-assignment analysis,v34 master: Corrected_RoB2 row13,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-013,Zhang 2023,Time to first spontaneous void,Postoperative,TEAS vs sham/no current,922 vs 916,Low,High,Some concerns,Some concerns,Low,High,De novo source-grounded replacement; 110 randomized participants excluded from final analysis after nonreceipt/discontinuation,v34 master: Corrected_RoB2 row14,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-014,Zhang 2014,Recovery-room stay,Recovery-room discharge,Preoperative TEAS vs sham/no current,33 vs 32,Some concerns,Low,Low,Low,Some concerns,Some concerns,De novo source-grounded replacement; detailed flowchart used instead of abstract's incorrect 72-randomized statement,v34 master: Corrected_RoB2 row15,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-015,Yang 2024,Morphine use via IV PCA,First 24 h / POD1,Perioperative EA + usual care vs usual care,90 vs 90,Low,Low,Low,Low,Some concerns,Some concerns,De novo source-grounded replacement; full ITT retained despite three protocol deviations; no sham for participants,v34 master: Corrected_RoB2 row16,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-016,Xiong 2021,Any PONV,Within 48 h,TEAS + dexamethasone + tropisetron vs antiemetics alone,31 vs 31,Low,Low,Low,Some concerns,Some concerns,Some concerns,Fresh re-adjudication of source-matched RoB; participant sensory masking may have failed for a patient-reported PONV outcome,v34 master: Corrected_RoB2 row17,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-017,Xing 2022,Total intraoperative remifentanil consumption,Intraoperative,TEAS + TAPB vs sham TEAS + TAPB,29 vs 29,Low,Low,Some concerns,Low,Some concerns,Some concerns,De novo source-grounded replacement using the randomized incremental TEAS contrast NTG vs NG,v34 master: Corrected_RoB2 row18,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-018,Xie 2014,Total postoperative/perioperative sufentanil,Study PCA period; exact fixed window unclear,Active EAS vs sham needling,20 vs 20,Some concerns,Low,Low,Low,Some concerns,Some concerns,De novo source-grounded replacement; result retained with explicit time-window ambiguity rather than relabeling as 24 h,v34 master: Corrected_RoB2 row19,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-019,Wu 2022,VAS pain intensity,POD1,Perioperative pTEAS vs no-current control,44 vs 40,Some concerns,Some concerns,High,High,Some concerns,High,"De novo source-grounded replacement; asymmetric post-randomization exclusions, subjective pain, and unlikely participant masking",v34 master: Corrected_RoB2 row20,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-020,Wu 2025,VAS pain intensity,24 h,PACU TEAS vs sham/no current,ITT 50 vs 50; 3 unavailable at 24 h,Some concerns,Low,Some concerns,High,Some concerns,High,"De novo source-grounded replacement; allocation concealment incompletely described, missing 24-h data handling unclear, and sensory masking imperfect for subjective pain",v34 master: Corrected_RoB2 row21,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-021,Wang 2023,Postoperative sleep quality (PSQI/AIS),POD1,Nighttime TEAS vs sham/no current,40 vs 43,Low,High,Some concerns,High,Some concerns,High,De novo source-grounded replacement; 5 protocol-breach exclusions and subjective patient-reported sleep with imperfect sensory masking,v34 master: Corrected_RoB2 row22,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-022,Wang 2024,PONV incidence,12-24 h,SNVP ODT vs SNVP OD,33 vs 35,Low,Some concerns,High,Low,Some concerns,High,De novo source-grounded replacement; treatment randomized within SNVP stratum only; two post-randomization ODT exclusions and marked surgical imbalance,v34 master: Corrected_RoB2 row23,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-023,Tu 2024,Vomiting incidence,2-6 h,Postoperative TEAS vs sham/no current,57 vs 58,Low,Low,High,Low,Some concerns,High,"Fresh re-adjudication; one sham patient excluded specifically for intracranial-hypertension-related vomiting, making missingness outcome-related",v34 master: Corrected_RoB2 row24,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-024,Sun 2017,Activity-evoked VAS,24 h,Preoperative + postoperative TEAS (TST) vs all-period sham (SSS),89 vs 90,Low,Low,Some concerns,Some concerns,Some concerns,Some concerns,Fresh re-adjudication; four-arm timing design preserved and sham recognized as 5-min perceptible low-current stimulation,v34 master: Corrected_RoB2 row25,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-025,Sim 2002,Cumulative postoperative IV PCA morphine,0-24 h,Preoperative EA vs placebo EA,30 vs 30,Some concerns,Low,Low,Low,Some concerns,Some concerns,De novo source-grounded replacement; randomized sequence reported but allocation concealment not reported; placebo blinding was empirically assessed,v34 master: Corrected_RoB2 row26,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-026,Ntritsou 2014,Total tramadol exposure,First 24 h most consistent with protocol,Perioperative EA + tramadol/ketamine vs sham + tramadol/ketamine,35 vs 35,Some concerns,Low,High,Low,Some concerns,High,De novo source-grounded replacement; five post-randomization exclusions included clinically relevant postoperative adverse events,v34 master: Corrected_RoB2 row27,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-027,Ng 2013,Time to first bowel motion,Postoperative,Electroacupuncture vs sham acupuncture,55 vs 55,Some concerns,Low,Low,Low,Some concerns,Some concerns,De novo source-grounded replacement; computer sequence but explicitly nonopaque envelopes create concealment concern,v34 master: Corrected_RoB2 row28,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-028,Ma 2026,Resting NRS pain,24 h,Group T (TEAS) vs Group S (no TEAS),17 vs 16,Some concerns,Low,Some concerns,High,Some concerns,High,"De novo source-grounded replacement; only T vs S randomized, allocation concealment unavailable, no participant blinding, and subjective pain is graph-only",v34 master: Corrected_RoB2 row29,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-029,Lu 2021,Post-mastectomy chronic pain incidence,6 months,Combined PC6+CV17 TEAS vs sham/no current,ITT 190 vs 188,Low,Low,Low,High,Some concerns,High,"De novo source-grounded replacement; central web randomization and worst-case ITT are strong, but chronic pain is patient-reported in an unblinded participant population and published effect estimates conflict",v34 master: Corrected_RoB2 row30,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-030,Lu 2022,Time to meet discharge criteria,Postoperative,TEAS + ERAS vs no-current control + ERAS,47 vs 47,Some concerns,Low,High,Some concerns,Low,High,"De novo source-grounded replacement; 6 randomized participants excluded after conversion/refusal, with conversion plausibly related to discharge time; participant blinding was not effective",v34 master: Corrected_RoB2 row31,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-031,Luo 2026,Cumulative postoperative nausea,0-48 h,Intraoperative PC6 TEAS vs sham/no current,138 vs 139,Low,Low,Low,Some concerns,Some concerns,Some concerns,"Fresh re-adjudication of source-matched RoB; full follow-up and concealed randomization are strong, but participant masking demonstrably failed for a subjective nausea outcome",v34 master: Corrected_RoB2 row32,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-032,Long 2025,Perioperative neurocognitive disorder (PND),POD3,Electrical acupoint stimulation vs electrodes/no current,27 active vs 26 control,Some concerns,Some concerns,High,Some concerns,Some concerns,High,"De novo source-grounded replacement; allocation concealment NR, 7/60 excluded without arm allocation, no full ITT, and primary event denominators are internally inconsistent",v34 master: Corrected_RoB2 row33,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-033,Li 2021,Time to first bowel motion by auscultation,Postoperative,Perioperative TEAS vs sham-point/no current,140 vs 140,Low,Low,High,Low,Low,High,"De novo source-grounded replacement; 26/306 randomized participants excluded from the explicit per-protocol analysis, including ICU transfer and cancelled operations that can relate to GI recovery",v34 master: Corrected_RoB2 row34,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-034,Liu 2026 (ESD),Moderate-to-severe pain (NRS ≥4),Within 24 h,Perioperative TEAS vs sham-point/no current,58 vs 62,Low,Some concerns,High,Some concerns,Low,High,"De novo source-grounded replacement; 9 post-randomization exclusions include bleeding/conversion events plausibly related to pain/recovery, with no full ITT",v34 master: Corrected_RoB2 row35,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-035,Liu 2021,Postoperative cognitive decline (MMSE Z-score ≤ -2),POD1,Perioperative TEAS vs electrodes/no current,50 vs 50,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,"De novo source-grounded replacement; no attrition and blinded MMSE assessment, but concealment and participant masking are insufficiently reported",v34 master: Corrected_RoB2 row36,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-036,Liu 2026 (burn),Intraoperative remifentanil consumption,Intraoperative,Pre-induction TEAS vs placebo/sham TEAS,43 vs 43,Low,Low,Some concerns,Low,Some concerns,Some concerns,"De novo source-grounded replacement; strong concealment/blinding and objective outcome, but two post-randomization intervention-related withdrawals plus retrospective registration and abstract/Results value conflict remain",v34 master: Corrected_RoB2 row37,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-037,Liu 2025,New-onset supraventricular tachycardia (SVT),First 24 h,Perioperative EA vs control/sham procedure,38 vs 39,Low,Low,Some concerns,Low,Low,Some concerns,"De novo source-grounded replacement; concealed randomization and blinded ECG assessment support the objective primary outcome, but three post-randomization discontinuations prevent a clean full-ITT judgment",v34 master: Corrected_RoB2 row38,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-038,Li 2022,Postoperative NRS pain,24 h,Preoperative EA vs sham EA,39 vs 40,Low,Low,Some concerns,Some concerns,Some concerns,Some concerns,De novo source-grounded replacement; one EA participant was excluded from final analysis and the 24-h subjective pain result shows no significant treatment effect,v34 master: Corrected_RoB2 row39,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-039,Liang 2021,CRBD incidence,24 h,Preoperative TEAS vs control/no stimulation,35 vs 35,Some concerns,Low,Some concerns,High,Some concerns,High,De novo source-grounded replacement; five randomized participants were not in the final analysis and CRBD is a subjective patient-experienced outcome with no sensory-matched sham,v34 master: Corrected_RoB2 row40,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-040,Lee 2011,Cumulative IV PCA morphine delivered,First 24 postoperative hours,Low-frequency dense-sparse SSP vs sham SSP,10 vs 12,Some concerns,Low,Some concerns,Low,Some concerns,Some concerns,"De novo source-grounded assessment; random-number table used but concealment NR, two low-frequency participants excluded, objective PCA outcome, and no prospective analysis plan located",v34 master: Corrected_RoB2 row41,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-041,Jin 2023,Cumulative analgesic pump compressions,48 h,2-Hz postoperative EA vs sham EA,53 vs 52,Some concerns,Low,High,Low,Some concerns,High,"De novo source-grounded replacement; 16/174 dropouts, complete-case outcome tables despite ITT language, and dropout reasons include unsatisfactory effects",v34 master: Corrected_RoB2 row42,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-042,Jiang 2026,Time to first flatus,Modified-ITT-type analysis,Perioperative TEAS vs sham/no current,296 vs 297,Low,Some concerns,Some concerns,Low,Low,Some concerns,"De novo source-grounded replacement; concealed block randomization and blinded assessment, but the reported ITT excludes 21 randomized non-recipients and is therefore modified ITT rather than full effect-of-assignment analysis",v34 master: Corrected_RoB2 row43,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-043,Huang 2025,Time to first flatus,Postoperative,Postoperative EA + ERAS vs ERAS/standard care,43 vs 45,Low,High,High,High,Low,High,"De novo source-grounded replacement; 13/101 post-randomization exclusions include treatment discontinuation/conversion/adjunct GI interventions, no sham, and first flatus is vulnerable to unblinded participant reporting",v34 master: Corrected_RoB2 row44,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-044,Huang 2024,VAS during walking/knee movement,POD1,Contralateral EA vs bilateral sham EA,38 vs 38,Low,Some concerns,Low,Some concerns,Low,Some concerns,"De novo source-grounded replacement; concealed allocation, prospective registration and full follow-up are strengths, but six participants did not complete assigned treatment and subjective pain remains potentially sensitive to treatment awareness despite tested sham masking",v34 master: Corrected_RoB2 row45,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-045,Hou 2023,PONV incidence,Postoperative,Perioperative TEAS vs sham/no-current TEAS,36 vs 36,Low,Low,Low,Some concerns,Low,Some concerns,"De novo source-grounded replacement; sealed-envelope randomization and balanced personal-reason withdrawals, but active vibration versus zero current without a blinding-success test leaves uncertainty for nausea-containing PONV",v34 master: Corrected_RoB2 row46,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-046,Huang 2017,Total opioid as remifentanil-equivalent rate,Intraoperative,2/100-Hz TEAS vs placebo/no-current control,20 vs 20,Some concerns,Low,Low,Low,Some concerns,Some concerns,Fresh source-grounded RoB; random numbers generated in Excel but allocation concealment not reported; complete perioperative follow-up and objective anesthetic-consumption outcome are strengths,v34 master: Corrected_RoB2 row47,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-047,He 2026 (hepatectomy/JIS),Total postoperative opioid consumption in morphine equivalents,0-24 h,Intraoperative PC6 TEAS vs no-current control,80 vs 79,Low,Some concerns,Low,Low,Low,Some concerns,"De novo source-grounded replacement using Supplemental eTable 1; secure web randomization and objective MME endpoint, with two randomized patients excluded from mITT because intervention was never initiated/consent withdrawn",v34 master: Corrected_RoB2 row48,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-048,He 2026 (breast/WJCO),Moderate-to-severe movement-evoked pain (VAS >4),24 h,Perioperative EA vs sham acupuncture,65 vs 65,Some concerns,Low,Low,Some concerns,Some concerns,Some concerns,"De novo source-grounded replacement; complete analysis and blinded assessors, but allocation concealment is not reported, patient sensory masking is uncertain, and no prospective registration/protocol was located",v34 master: Corrected_RoB2 row49,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-049,Gu 2019,Time to first flatus,Postoperative,Long-duration TEAS vs sham/no-current TEAS,58 vs 59,Some concerns,Low,Some concerns,Some concerns,Some concerns,Some concerns,"De novo source-grounded replacement; computer randomization but concealment NR, three complete-case exclusions, untested sensory masking, and participant self-recording of flatus",v34 master: Corrected_RoB2 row50,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-050,Guo 2023,Postoperative cognitive dysfunction,POD1,Perioperative TEAS vs sham/no-current TEAS,55 vs 55,Some concerns,Low,High,Some concerns,Low,High,"De novo source-grounded replacement; 18/128 post-randomization losses excluded with no ITT, including surgical conversions/reoperations/deaths; participant sensory masking is also uncertain",v34 master: Corrected_RoB2 row51,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-051,Grech 2016,PACU analgesic requirement in women-only subgroup,PACU,Intraoperative low-frequency EA vs sham/control,9 women vs 9 women subgroup,Some concerns,High,Some concerns,Low,High,High,"De novo source-grounded replacement; randomization/concealment inadequately described, result is a post hoc sex subgroup with two EA men excluded, and exact numeric outcome is not tabulated",v34 master: Corrected_RoB2 row52,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-052,Gao 2021,Postoperative paralytic ileus,No flatus >72 h,Postoperative TEAS vs sham/no-current TEAS,303 vs 307,Low,Low,Low,Some concerns,Low,Some concerns,"De novo source-grounded replacement; central/sealed allocation and full ITT are strengths, but active stimulation was perceptible and POI depends on first-flatus ascertainment",v34 master: Corrected_RoB2 row53,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-053,Yeh 2010,24-h morphine PCA dose,First 24 postoperative hours,True AES vs electrical sham AES,33 vs 30 analyzed,Some concerns,Low,Some concerns,Low,Some concerns,Some concerns,Fresh source-grounded assessment. Randomization sequence not reported and five unstable participants were excluded with arm allocation NR; outcome is objective PCA use. Separate duplicate-publication overlap hold applies.,v34 master: Corrected_RoB2 row54,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-054,Yeh 2011,24-h IV morphine PCA dose,First 24 postoperative hours,True AES vs electrical sham AES,30 vs 30,Some concerns,Low,Low,Low,Some concerns,Some concerns,Fresh source-grounded assessment. Computer sequence but sequential allocation without sealed envelopes raises concealment concern; complete follow-up and objective PCA dose are strengths. Duplicate-publication overlap hold applies.,v34 master: Corrected_RoB2 row55,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-055,Wong 2006,Total IV PCA morphine,First 3 postoperative days,Postoperative EA vs nonpenetrating sham,13 vs 12,Low,Low,High,Low,Some concerns,High,Fresh source-grounded assessment. Two sham participants were excluded after serious postoperative complications likely related to postoperative outcomes; no ITT analysis. Exact 24-h opioid endpoint remains unavailable.,v34 master: Corrected_RoB2 row56,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-056,El-Rakshy 2009,Total IV morphine analgesia,First 24 h,Intraoperative EA + PCA vs PCA alone,42 EA vs 53 control for this outcome,Some concerns,Low,High,Low,Some concerns,High,Fresh source-grounded assessment. Computer randomization but concealment NR; severe publication-level denominator inconsistencies and outcome-specific missing data preclude confidence in complete outcome data.,v34 master: Corrected_RoB2 row57,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-057,Coura 2011,Cumulative fentanyl,First 24 h,EA vs sham,13 vs 9,Some concerns,Low,High,Low,Some concerns,High,Fresh source-grounded assessment. Ten of 32 randomized participants were excluded from the final comparison and the publication does not establish that missingness is unrelated to the opioid result.,v34 master: Corrected_RoB2 row58,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-058,Chen 1998,Cumulative IV PCA hydromorphone,First 24 h,Active ST36 acupoint TENS vs sham ST36 0 mA,25 vs 25,Some concerns,Some concerns,Low,Low,Some concerns,Some concerns,"Fresh source-grounded assessment. Four-arm trial is retained. Randomization/concealment reporting is limited and active postoperative stimulation is perceptible compared with 0-mA sham, but hydromorphone delivery itself is objectively recorded.",v34 master: Corrected_RoB2 row59,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-059,Chen 2020,Cumulative sufentanil,24 h,Perioperative TEAS vs sham low/zero-current protocol,40 vs 40,Low,Low,Low,Low,Some concerns,Some concerns,Fresh source-grounded assessment. Complete objective opioid outcome and a partially sensory-matched sham support low risk in most domains; uncertainty remains about exact prospective analysis prespecification.,v34 master: Corrected_RoB2 row60,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-060,Ao 2021,Cumulative PCA solution consumption,48 h,Repeated perioperative TEAS vs sham/no current,32 vs 33,Some concerns,Some concerns,Some concerns,Low,Some concerns,Some concerns,Fresh source-grounded assessment. Five randomized participants were not analyzed and repeated awake active stimulation versus no-current sham may reveal allocation; the selected PCA-volume result is objectively recorded. Exact 24-h opioid dose remains missing.,v34 master: Corrected_RoB2 row61,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-061,An 2014,Total postoperative fentanyl PCIA dose,Reported 48-h PCIA period,Intraoperative EA vs no-acupuncture control,41 vs 40,Some concerns,Low,High,Low,Some concerns,High,"Fresh source-grounded assessment. Seven of 88 randomized participants were excluded after reoperation, persistent unconsciousness or incomplete information; no ITT analysis. Objective fentanyl result but substantial missing-data concern.",v34 master: Corrected_RoB2 row62,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-062,Chen 2015,Global QoR-40,24 h,Preoperative TEAS vs no-current control,41 vs 42,Low,Low,Some concerns,High,Low,High,"Fresh source-grounded assessment. Opaque-envelope randomization and prospective registration are strengths, but the patient-reported QoR-40 is vulnerable to treatment awareness because active 6-9 mA TEAS was perceptible and control delivered no current.",v34 master: Corrected_RoB2 row63,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-063,Chen 2015 (Hyperalgesia),Cumulative rescue sufentanil PCIA boluses,0-24 h,Preoperative TEAS vs no-current sham,29 vs 30,Low,Low,Some concerns,Low,Some concerns,Some concerns,Fresh source-grounded assessment. Computer randomization with sealed envelopes and blinded outcome personnel; one TEAS protocol-breach exclusion and uncertainty about sensory masking/prespecified analysis remain.,v34 master: Corrected_RoB2 row64,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-064,Wu 2016,Postoperative nausea/vomiting,Postoperative period; exact window not reported,True-acupoint TAES vs active nonacupoint electrical stimulation,27 / 27,Low,Low,Some concerns,Some concerns,Some concerns,Some concerns,De novo source-grounded assessment from full text; v26 Wu 2016 integration,v34 master: Corrected_RoB2 row65,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-065,Gao 2022,24-h analgesic-pump sufentanil dose,0-24 h,Postoperative TEAS (P6/ST36) vs no-current sham,827 / 828,Some concerns,Low,Low,Low,Some concerns,Some concerns,De novo source-grounded assessment from full text; v27 Gao 2022 integration,v34 master: Corrected_RoB2 row66,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-066,Liu 2015,Total intraoperative sufentanil consumption,Intraoperative,Multipoint intraoperative TEAS vs no-current sham TEAS,44 / 44,Low,Low,Some concerns,Low,Some concerns,Some concerns,De novo source-grounded assessment from full text; v28 Liu 2015 integration,v34 master: Corrected_RoB2 row67,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-067,Oztas 2019,0–24 h IV PCA tramadol consumption,0–24 h postoperative,TAES vs no-intervention control,TAES 15 / Control 16,Some concerns,High,High,Low,Some concerns,High,De novo source-grounded assessment from full text; v29 Oztas 2019 integration,v34 master: Corrected_RoB2 row68,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-068,Song 2020,PCA pump press number,0–24 h postoperative,TEAS vs active nonacupoint electrical-stimulation control,ITT TEAS 42 / Control 43 (PP 38 / 40 reported separately),Low,Low,Low,Low,Some concerns,Some concerns,De novo source-grounded assessment from full text; v30 Song 2020 integration,v34 master: Corrected_RoB2 row69,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-069,Szmit 2021,Total IV PCA morphine dose,0–24 h postoperative,Postoperative TEAS vs no-current sham TEAS,24 / 24,Low,Low,Low,Low,Some concerns,Some concerns,"De novo source-grounded RoB 2. Independent blinded statistician generated block randomization; allocation table was managed by an independent researcher; participants were blinded with an identical sham device/no current; all randomized patients were analyzed. PCA morphine is an objective drug-delivery endpoint, but study personnel could not be blinded and the supplied article does not provide the full prespecified statistical-analysis plan, leaving some concern for selective reporting.",v34 master: Corrected_RoB2 row70,NOT PRESENT IN CONSOLIDATED RECORD
CORRECTED-V34-070,Zhang 2018,Time to first defecation,Postoperative recovery,Postoperative TEA at ST36/PC6 vs active electrical stimulation at non-acupoints,21 / 21,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,"De novo source-grounded RoB 2. Randomization is stated but sequence generation and allocation concealment are not reported. Both groups received electrical stimulation and participants familiar with acupoints were excluded, which supports masking, but participant masking is not explicitly documented. No attrition is reported. Time to defecation is a clinically concrete event, but ascertainment/blinding for GI milestones is not described. No trial registration or full prespecified analysis plan is reported.",v34 master: Corrected_RoB2 row71,NOT PRESENT IN CONSOLIDATED RECORD
AF26-A-001,Chen 2020,Cumulative postoperative PCIA sufentanil consumption,0-48 h,CHEN20_TEAS_vs_SHAM_SUF48,40/40,Low,Low,Low,Low,Some concerns,Some concerns,Clean 48-h cumulative result; preserve μg; registration retrospective.,06_FINAL_ANALYSIS_V26/01_DATA/target_A_48h.csv#A-001,NOT PRESENT IN CONSOLIDATED RECORD
AF26-A-002,Zhang 2023,Postoperative IV morphine-equivalent consumption,Within 48 h,ZHANG23_TEAS_vs_SHAM_MME48,922/916,Low,Some concerns,Some concerns,Low,Some concerns,Some concerns,Exact data capture source not reported; substantial post-randomization exclusions.,06_FINAL_ANALYSIS_V26/01_DATA/target_A_48h.csv#A-002,NOT PRESENT IN CONSOLIDATED RECORD
AF26-A-003,An 2014,Total postoperative fentanyl PCIA dose,Through reported 48-h PCIA period,AN14_EA_vs_CTRL_FENT48,41/40,Some concerns,Some concerns,Some concerns,Low,Some concerns,Some concerns,Author clarification needed for reservoir/plausibility issue.,06_FINAL_ANALYSIS_V26/01_DATA/target_A_48h.csv#A-003,NOT PRESENT IN CONSOLIDATED RECORD
